,Name,Industry,Sector,Headquarters,Founded,Notes
0,2degrees,Telecommunications,Mobile telecommunications,Auckland,2009,Telecommunications
1,AFFCO Holdings,Consumer goods,Food products,Hamilton,1904,"Meatworks, subsidiary of Talley's Group"
2,AHI Roofing,Industrials,Building materials & fixtures,Auckland,1957,Roof tiles
3,Air New Zealand,Consumer services,Airlines,Auckland,1965,Airline (NZX: AIR)
4,Airwork,Consumer services,Airlines,Auckland,1984,Airline
5,Alliance Group,Consumer goods,Food products,Invercargill,1948,Freezing works
6,Auckland Airport,Industrials,Transportation services,Auckland,1998,Airport (NZX: AIA)
7,Aurora Energy,Utilities,Conventional electricity,Dunedin,1990,"Electricity distribution, 100% Dunedin Council-owned"
8,Bank of New Zealand,Financials,Banks,Auckland,1861,"Bank, subsidiary of National Australia Bank"
9,Barfoot & Thompson,Financials,Real estate services,Auckland,1923,Property sales and management
10,Black + White Mobile,Telecommunications,Mobile telecommunications,Auckland,2008,Mobile phone sales
11,Blis Technologies,Health care,Biotechnology,Dunedin,2000,Biotech
12,Bridget Williams Books,Consumer services,Publishing,Wellington,1990,Publishing
13,Cavalier Corporation,Consumer goods,Furnishings,Auckland,1984,Carpets (NZX: CAV)
14,Cloudy Bay Vineyards,Consumer goods,Distillers & vintners,Blenheim,1985,Winery – Subsidiary of LVMH
15,Contact Energy,Utilities,Conventional electricity,Wellington,1996,Electricity generation and retail (NZX: CEN)
16,Datacom Group,Technology,Software,Wellington,1965,IT services
17,Designline,Industrials,Commercial vehicles & trucks,Ashburton,1985,"Buses, defunct 2011"
18,Douglas Pharmaceuticals,Health care,Pharmaceuticals,Auckland,1967,Pharmaceuticals
19,Eurekster,Technology,Software,Christchurch,2004,"Search engines, defunct c. 2010"
20,Fisher & Paykel Healthcare,Health care,Medical equipment,Auckland,1934,Medical equipment (NZX: FPH)
21,Fisher & Paykel,Consumer goods,Durable household products,Auckland,1934,Appliances – Subsidiary of Haier
22,Fletcher Challenge,Industrials,Heavy construction,Auckland,1981,Diversified multi-national
23,Fletcher Building,Industrials,Heavy construction,Auckland,2001,Construction and infrastructure (NZX: FBU)
24,FMG Insurance,Financials,Full line insurance,Wellington,1978,Insurance
25,Fonterra,Consumer goods,Food products,Auckland,2001,Dairy
26,Foodstuffs,Consumer services,Specialty retailers,Auckland / Wellington,1922,FMCG
27,GAS Petrol Service Stations,Consumer services,Specialty retailers,Auckland,1999,Fuel retailer
28,Gecko Press,Consumer services,Publishing,Wellington,2005,Children's books
29,Genesis Energy Limited,Utilities,Conventional electricity,Auckland,1999,"Electricity generation, 51% government owned (NZX: GNE)"
30,Golden Bay Air,Consumer services,Airlines,Auckland,2006,Airline
31,Griffin's Foods,Consumer goods,Food products,Auckland,1864,"Snacks and biscuits, part of Intersnack (Germany)"
32,Grove Mill,Consumer goods,Distillers & vintners,Marlborough,1988,Winery
33,Harcourts International,Financials,Real estate services,Wellington,1988,Real estate sales
34,Heartland Bank,Financials,Banks,Auckland,2011,Publicly listed registered bank and finance company
35,Hubbard Foods,Consumer goods,Food products,Auckland,1990,"Acquired by Walter & Wild, Cereals"
36,Infratil,Conglomerates,-,Wellington,1994,"Airports, electricity generators and retailers (NZX: IFT)"
37,Invivo Wines,Consumer goods,Distillers & vintners,Auckland,2008,Winery
